Zip,Number of Sites,Site Density Category,Population,Sites Per 1000 People,Sites Per Capita
53593,42,1,24775,1.6952573158425834,0.0016952573158425834
53594,8,1,5117,1.5634160641000587,0.0015634160641000586
53597,26,1,19579,1.327953419480055,0.001327953419480055
53598,3,1,2857,1.0500525026251313,0.0010500525026251313
53702,6,1,178,33.70786516853933,0.033707865168539325
53703,334,4,35834,9.320756823128871,0.009320756823128872
53704,236,4,46614,5.062856652507831,0.00506285665250783
53705,87,2,25256,3.4447260057016154,0.0034447260057016153
53706,20,1,6226,3.2123353678123996,0.0032123353678123997
53711,131,3,48455,2.703539366422454,0.002703539366422454
53713,202,4,22726,8.88849775587433,0.008888497755874329
53714,52,2,15750,3.3015873015873014,0.0033015873015873015
53715,79,2,13202,5.98394182699591,0.00598394182699591
53716,85,2,18756,4.531883130731499,0.004531883130731499
53717,53,2,12859,4.121626876117894,0.004121626876117894
53718,69,2,15882,4.344540989799773,0.004344540989799773
53719,110,3,32594,3.374854267656624,0.003374854267656624
53726,4,1,5270,0.7590132827324478,0.0007590132827324478
53803,4,1,1183,3.3812341504649197,0.0033812341504649195
53804,2,1,1396,1.4326647564469914,0.0014326647564469914
53805,22,1,5336,4.122938530734633,0.004122938530734633
53806,5,1,1580,3.1645569620253164,0.0031645569620253164
53807,11,1,4742,2.319696330662168,0.002319696330662168
53809,17,1,4318,3.9370078740157486,0.003937007874015748
53811,4,1,3325,1.2030075187969924,0.0012030075187969924
53813,46,1,6003,7.662835249042145,0.007662835249042145
53816,2,1,911,2.195389681668496,0.0021953896816684962
53817,2,1,172,11.627906976744187,0.011627906976744186
53818,57,2,16158,3.5276643148904565,0.003527664314890457
53820,2,1,2251,0.8884940026654821,0.000888494002665482
53821,60,2,7962,7.535795026375283,0.007535795026375283
53826,2,1,1330,1.5037593984962405,0.0015037593984962407
53901,97,2,14729,6.585647362346392,0.006585647362346392
53910,24,1,3468,6.920415224913495,0.006920415224913495
53911,2,1,1322,1.51285930408472,0.0015128593040847202
53913,85,2,20534,4.1394759910392525,0.004139475991039252
53916,60,2,22485,2.66844563042028,0.00266844563042028
53919,1,1,2462,0.4061738424045491,0.00040617384240454913
53922,1,1,1049,0.9532888465204957,0.0009532888465204957
53923,7,1,2243,3.120820329915292,0.003120820329915292
53924,3,1,1284,2.336448598130841,0.002336448598130841
53925,25,1,8097,3.0875632950475485,0.0030875632950475487
53926,1,1,1581,0.6325110689437066,0.0006325110689437065
53928,1,1,92,10.869565217391305,0.010869565217391304
53929,11,1,2602,4.227517294388932,0.004227517294388932
53930,4,1,1329,3.0097817908201656,0.0030097817908201654
53932,2,1,2495,0.8016032064128256,0.0008016032064128256
53933,8,1,4572,1.7497812773403325,0.0017497812773403325
53934,24,1,4244,5.655042412818096,0.005655042412818096
53935,2,1,246,8.130081300813009,0.008130081300813009
53936,2,1,2343,0.8536064874093043,0.0008536064874093043
53937,2,1,1121,1.784121320249777,0.001784121320249777
53939,1,1,306,3.2679738562091503,0.0032679738562091504
53941,4,1,3151,1.269438273563948,0.0012694382735639479
