CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT
53227,28397,43.0210082,-87.9968633,53214,1
53218,37820,43.0483622,-87.9296885,53205,4
53403,28435,43.0409377,-87.9365218,53233,1
53224,28273,42.5970446,-87.8564334,53144,1
53204,30499,43.00679569,-88.02960138,53214,2
53185,1034,43.07011497,-88.24109471,53188,1
53209,28114,43.0383969,-87.947036,53233,1
53210,29588,43.0392652,-87.9152463,53203,1
53029,34924,43.0215108,-88.2316651,53188,2
53209,30131,43.0172772,-87.9734204,53214,1
53212,36844,43.0898173,-87.9122221,53212,1
53209,30956,43.0641205,-87.96717239,53208,1
53202,27737,43.0530363,-87.934476,53205,1
53214,27227,43.0135771,-87.941262,53204,1
54304,20037,0,0,,1
53404,20050,43.0718225,-89.3816961,53703,1
53206,27903,43.0755531,-87.9792239,53210,1
53223,27114,43.0555513,-87.9627692,53208,1
53204,27555,43.0511886,-87.939263,53205,1
53226,27606,43.0147369,-87.949006,53215,1
54729,12772,39.0621943,-77.1123801,20852,1
54669,16575,44.8907241,-91.9310145,54751,1
54636,11509,43.7699717,-91.2125017,54601,1
53233,27621,43.0565334,-87.9879237,53208,1
53403,20037,0,0,,2
53209,27428,43.0439809,-87.9086048,53202,1
53225,27529,43.0418568,-87.9096904,53202,1
53204,30108,43.1625255,-88.0052206,53223,1
53219,19215,43.0210082,-87.9968633,53214,1
53223,29446,43.086291,-88.0235445,53222,1
53403,30728,42.715413,-87.829413,53405,1
53211,30499,43.00679569,-88.02960138,53214,1
53212,19318,42.9943092,-87.9134072,53207,1
53217,28400,43.0488227,-87.9278883,53205,1
53209,28159,43.0395821,-87.9198778,53233,1
53204,34922,43.0615264,-87.8864629,53211,1
55921,11031,44.0520323,-91.6363807,55987,1
52049,15619,42.6447221,-91.402788,52042,1
53225,36697,43.0389226,-87.962498,53208,1
53218,37533,43.0099488,-88.2250011,53186,1
53218,37398,32.7803421,-96.799284,75202,1
53204,27209,43.0433063,-87.9207418,53233,1
53206,28521,43.0415872,-87.9240961,53233,1
53212,28501,43.0559926,-87.9144992,53212,1
53404,28178,42.7275578,-87.7845572,53403,1
53219,37819,43.0433344,-87.9240303,53233,1
53222,34736,43.0901002,-87.9661372,53216,1
53210,28177,42.7077879,-87.8032018,53403,1
53208,30121,43.0641205,-87.96717239,53233,2
53214,38048,43.0160702,-88.0065798,53214,1
53228,19303,43.082398,-88.4380688,53066,1
53406,32482,42.7153861,-87.8181059,53405,2
53218,30883,43.0641205,-87.96717239,,2
53208,28470,42.9104804,-87.8624446,53172,1
53204,30167,43.1156658,-87.9865502,53218,1
53221,20039,43.0718225,-89.3816961,53703,1
53215,28527,43.0549598,-87.9145461,53212,1
53103,12634,43.03884557,-87.91469278,53203,1
53404,20037,0,0,,1
53215,27656,43.0523297,-87.9458108,53205,1
53207,27525,42.965465,-88.0038179,53220,1
53406,30172,42.7077879,-87.8032018,53403,1
54601,11320,43.8253425,-91.2505251,54603,1
54601,12703,43.0923884,-89.3525366,53704,1
55921,32117,43.8289291,-91.3056024,55947,1
54650,8236,43.8090509,-91.2483096,54601,1
52049,11483,43.8754262,-91.1801525,54650,1
53219,27235,43.0175128,-88.0583091,53214,1
54669,11320,43.8253425,-91.2505251,54603,1
53208,28399,43.0210082,-87.9968633,53214,1
53140,36455,42.5813036,-87.8249633,53140,1
53188,34924,43.0215108,-88.2316651,53188,1
53204,37592,43.0433865,-87.9208399,53233,1
53208,27658,43.1244822,-87.9850609,53218,1
53403,28620,42.7141496,-87.8022693,53403,2
53402,27282,43.0226032,-87.9314504,53204,1
53202,36573,43.0166335,-87.9915947,53214,1
53224,27240,43.1368903,-88.0073999,53223,1
53208,27225,43.0193608,-87.958023,53215,1
53209,28215,43.1002545,-89.5390746,53562,1
53224,37819,43.0433344,-87.9240303,53233,1
