CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES
53091,37733,43.0108085,-88.2265919,53186.0,1,43.5045,-88.4478,35.88
53225,27574,43.0418686,-87.9084624,53202.0,1,43.1154,-88.0346,8.14
53209,33495,43.090023,-87.941777,53206.0,1,43.1188,-87.9478,2.01
53216,27112,43.1804866,-87.963573,53209.0,1,43.0859,-87.9742,6.56
53402,28156,42.7046712,-87.8011629,53403.0,1,42.7726,-87.796,4.7
53233,28622,43.0607703,-87.934476,53205.0,1,43.0407,-87.9357,1.39
53223,30054,43.0139088,-88.2347018,53188.0,1,43.1624,-87.9898,16.06
53210,28679,42.9999061,-87.9021477,53207.0,1,43.0685,-87.9715,5.89
53204,28159,43.0395821,-87.9198778,53233.0,1,43.0158,-87.9317,1.75
53223,33408,43.0533748,-89.3955318,53715.0,1,43.1624,-87.9898,71.31
53215,12634,43.03884557,-87.91469278,53203.0,1,43.006,-87.9429,2.68
53223,26934,43.0453982,-87.9001095,53202.0,1,43.1624,-87.9898,9.26
53224,29696,43.0215108,-88.2316651,53188.0,1,43.1594,-88.0327,13.84
53215,27225,43.0193608,-87.958023,53215.0,1,43.006,-87.9429,1.2
53215,27171,43.0418686,-87.9084624,53202.0,1,43.006,-87.9429,3.03
53233,27654,43.0535607,-87.9194224,53205.0,1,43.0407,-87.9357,1.21
53209,27859,43.1186855,-87.9443045,53209.0,1,43.1188,-87.9478,0.18
53227,20039,43.0718225,-89.3816961,53703.0,1,42.9949,-88.0364,68.15
53218,27711,43.0561253,-87.9260188,53205.0,1,43.1122,-87.9932,5.15
53406,28703,42.73079,-87.7832232,53403.0,1,42.7242,-87.8551,3.68
53202,27704,43.058008,-88.232804,53188.0,1,43.0506,-87.8968,16.97
54601,11338,43.8133632,-91.2456839,54601.0,1,43.7989,-91.2175,1.72
54601,16575,44.8907241,-91.9310145,54751.0,13,43.7989,-91.2175,83.27
52049,12318,43.8730173,-91.1786141,54650.0,2,42.8762,-91.2156,68.9
54650,7489,43.8838955,-91.2309818,54650.0,72,43.8974,-91.2314,0.93
53206,33495,43.090023,-87.941777,53206.0,3,43.0753,-87.9347,1.08
53221,28435,43.0409377,-87.9365218,53233.0,5,42.9549,-87.9447,5.96
53225,27114,43.0555513,-87.9627692,53208.0,2,43.1154,-88.0346,5.5
54601,37355,43.8276228,-91.2155493,54601.0,22,43.7989,-91.2175,1.99
53091,32468,43.4239461,-88.1738426,53095.0,3,43.5045,-88.4478,14.82
53204,28929,43.0122026,-87.9523576,53215.0,5,43.0158,-87.9317,1.07
53206,28505,43.1192086,-88.0324478,53225.0,24,43.0753,-87.9347,5.79
53218,28159,43.0395821,-87.9198778,53233.0,1,43.1122,-87.9932,6.23
54669,8734,44.5098578,-88.0171229,54301.0,1,43.9063,-91.0893,157.76
53224,37820,43.0483622,-87.9296885,53205.0,7,43.1594,-88.0327,9.27
53206,28600,43.0418686,-87.9084624,53202.0,4,43.0753,-87.9347,2.66
53216,28505,43.1192086,-88.0324478,53225.0,10,43.0859,-87.9742,3.73
53206,27890,43.03733013,-87.92320041,53233.0,2,43.0753,-87.9347,2.69
53208,35464,43.0556602,-87.9181198,53212.0,7,43.0488,-87.9625,2.29
53218,37426,43.0472661,-87.8985764,53202.0,1,43.1122,-87.9932,6.55
53406,30047,42.7265875,-87.8064506,53405.0,1,42.7242,-87.8551,2.47
53220,28455,42.9730202,-88.0102415,53220.0,4,42.9559,-87.9933,1.46
53208,28468,43.052153,-87.9191542,53212.0,4,43.0488,-87.9625,2.2
53403,30047,42.7265875,-87.8064506,53405.0,5,42.706,-87.8014,1.45
53215,28405,43.0488227,-87.9278883,53205.0,8,43.006,-87.9429,3.05
53210,26934,43.0453982,-87.9001095,53202.0,3,43.0685,-87.9715,3.94
53204,30126,43.015901,-87.9129857,53204.0,6,43.0158,-87.9317,0.95
53404,32482,42.7153861,-87.8181059,53405.0,3,42.7433,-87.8053,2.04
53227,28904,42.9419067,-88.0634679,53130.0,1,42.9949,-88.0364,3.91
53212,28397,43.0210082,-87.9968633,53214.0,10,43.0712,-87.9084,5.66
53110,28400,43.0488227,-87.9278883,53205.0,8,42.949,-87.862,7.66
53154,28505,43.1192086,-88.0324478,53225.0,1,42.8892,-87.9027,17.19
53218,27715,43.0411607,-87.9142099,53203.0,2,43.1122,-87.9932,6.32
53218,28929,43.0122026,-87.9523576,53215.0,2,43.1122,-87.9932,7.21
53209,20050,43.0718225,-89.3816961,53703.0,2,43.1188,-87.9478,72.42
53404,30625,42.7254704,-87.7851336,53403.0,2,42.7433,-87.8053,1.6
53223,27055,43.0395821,-87.9198778,53233.0,1,43.1624,-87.9898,9.19
53216,28506,43.0658628,-87.9121427,53212.0,1,43.0859,-87.9742,3.42
53207,12634,43.03884557,-87.91469278,53203.0,1,42.9751,-87.8947,4.52
53227,27055,43.0395821,-87.9198778,53233.0,3,42.9949,-88.0364,6.65
53207,28593,43.0410791,-88.0397474,53226.0,1,42.9751,-87.8947,8.63
53210,27420,43.061501,-87.974422,53210.0,1,43.0685,-87.9715,0.51
54650,37355,43.8276228,-91.2155493,54601.0,4,43.8974,-91.2314,4.89
54729,15447,44.8133836,-91.4946206,54701.0,1,44.9369,-91.3929,9.88
