CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES,DRIVING_DISTANCE_MILES,DRIVING_TIME_MINUTES,WALKING_DISTANCE_MILES,WALKING_TIME_MINUTES
53210,28622,43.0607703,-87.934476,53205.0,4,43.0685,-87.9715,1.94,2.429973,7.433333333333334,2.146176,42.96666666666667
53204,27555,43.0511886,-87.939263,53205.0,1,43.0158,-87.9317,2.47,2.7945,10.816666666666666,2.796363,57.81666666666667
53205,37819,43.0433344,-87.9240303,53233.0,6,43.0528,-87.9353,0.87,1.230822,4.95,1.1488500000000001,23.283333333333335
53226,31808,43.0220824,-88.0005676,53214.0,1,43.0493,-88.0414,2.79,5.186592,7.7,4.053267,81.08333333333333
53209,28433,43.0484209,-87.9797328,53208.0,2,43.1188,-87.9478,5.12,9.651582000000001,16.716666666666665,,
53216,27658,43.1244822,-87.9850609,53218.0,5,43.0859,-87.9742,2.72,2.985768,8.016666666666667,2.9336040000000003,60.43333333333333
54601,11320,43.8253425,-91.2505251,54603.0,1,43.7989,-91.2175,2.46,3.6135990000000002,10.316666666666666,3.4279200000000003,68.96666666666667
54650,13946,43.8732619,-91.1990581,54650.0,1,43.8974,-91.2314,2.32,3.925962,8.466666666666667,3.318003,66.08333333333333
53140,28645,42.5648355,-87.8446155,53143.0,1,42.6052,-87.8299,2.89,3.357126,10.0,3.357126,67.9
53225,26909,43.0932201,-87.9477251,53216.0,7,43.1154,-88.0346,4.64,5.287194,14.033333333333333,5.254281000000001,107.06666666666666
54669,11320,43.8253425,-91.2505251,54603.0,1,43.9063,-91.0893,9.79,11.702124000000001,17.833333333333332,,
54669,14279,43.8149618,-91.2504499,54601.0,1,43.9063,-91.0893,10.21,12.323124,19.116666666666667,,
53209,28600,43.0418686,-87.9084624,53202.0,3,43.1188,-87.9478,5.67,7.672455,13.783333333333333,,
53214,27615,43.0440971,-88.0289756,53226.0,2,43.0215,-88.0176,1.66,2.625588,4.866666666666666,2.266029,46.416666666666664
54304,6930,44.51141967,-88.0162226,54301.0,1,44.4975,-88.0324,1.25,2.134377,6.1,2.0350170000000003,40.15
53216,27271,43.1057349,-87.9337483,53209.0,1,43.0859,-87.9742,2.46,3.315519,9.45,3.305583,66.56666666666666
53403,28435,43.0409377,-87.9365218,53233.0,1,42.706,-87.8014,24.13,30.90096,41.63333333333333,,
53210,28929,43.0122026,-87.9523576,53215.0,2,43.0685,-87.9715,4.01,5.277879,11.583333333333334,4.559382,92.73333333333333
53221,31629,42.9600689,-87.9819402,53220.0,1,42.9549,-87.9447,1.92,2.312604,6.233333333333333,2.2287690000000002,45.71666666666667
53402,12703,43.0923884,-89.3525366,53704.0,2,42.7726,-87.796,81.78,96.499674,98.03333333333333,,
53209,27576,43.0773764,-87.9580253,53216.0,1,43.1188,-87.9478,2.91,3.9439710000000003,9.95,3.562056,71.78333333333333
53219,37819,43.0433344,-87.9240303,53233.0,1,42.9959,-87.9944,4.84,6.903657,13.466666666666667,5.882112,119.0
53212,19318,42.9943092,-87.9134072,53207.0,1,43.0712,-87.9084,5.32,6.281415,10.4,,
53211,37426,43.0472661,-87.8985764,53202.0,1,43.082,-87.8895,2.44,2.739852,10.766666666666667,2.739852,54.9
53214,27715,43.0411607,-87.9142099,53203.0,1,43.0215,-88.0176,5.4,6.057234,9.1,,
53204,37690,43.039843,-87.920732,53233.0,2,43.0158,-87.9317,1.75,2.610684,7.583333333333333,2.1859200000000003,44.11666666666667
53209,30131,43.0172772,-87.9734204,53214.0,1,43.1188,-87.9478,7.13,10.8054,15.05,,
53207,27525,42.965465,-88.0038179,53220.0,1,42.9751,-87.8947,5.56,6.850251,10.783333333333333,,
53212,35303,43.0415872,-87.9240961,53233.0,1,43.0712,-87.9084,2.19,3.05532,6.016666666666667,2.7286740000000003,55.46666666666667
53209,30956,43.0641205,-87.96717239,53208.0,3,43.1188,-87.9478,3.9,4.912731,12.916666666666666,4.746924,96.16666666666667
53132,19318,42.9943092,-87.9134072,53207.0,1,42.9017,-88.0086,8.01,11.290401000000001,17.316666666666666,,
53403,30728,42.715413,-87.829413,53405.0,1,42.706,-87.8014,1.56,2.0927700000000002,6.7,2.05551,41.78333333333333
53140,36455,42.5813036,-87.8249633,53140.0,1,42.6052,-87.8299,1.67,2.380914,6.8,2.0604780000000003,41.05
53214,27229,43.0147049,-88.0016685,53214.0,10,43.0215,-88.0176,0.93,1.315278,4.7,1.296648,26.533333333333335
53208,28159,43.0395821,-87.9198778,53233.0,2,43.0488,-87.9625,2.24,4.8077820000000004,7.383333333333334,2.7125280000000003,55.0
53103,12634,43.03884557,-87.91469278,53203.0,1,42.8885,-88.2122,18.28,22.837275,25.566666666666666,,
53209,37587,43.1423223,-87.9539741,53209.0,2,43.1188,-87.9478,1.65,1.946214,4.183333333333334,2.084076,41.833333333333336
52049,11483,43.8754262,-91.1801525,54650.0,2,42.8762,-91.2156,69.06,85.000617,103.33333333333333,,
53208,28399,43.0210082,-87.9968633,53214.0,1,43.0488,-87.9625,2.59,3.966327,7.483333333333333,3.877524,79.75
53208,12728,43.0602083,-89.4931812,53719.0,1,43.0488,-87.9625,77.28,85.271994,79.95,,
53210,28401,43.0488227,-87.9278883,53205.0,1,43.0685,-87.9715,2.59,3.255903,9.133333333333333,2.975832,59.95
53233,27621,43.0565334,-87.9879237,53208.0,1,43.0407,-87.9357,2.85,3.5074080000000003,9.15,3.497472,71.73333333333333
54729,13873,44.9135889,-91.3955842,54729.0,1,44.9369,-91.3929,1.62,2.326266,5.433333333333334,1.9840950000000002,40.3
54669,16575,44.8907241,-91.9310145,54751.0,1,43.9063,-91.0893,79.7,110.04244200000001,111.8,,
53110,28504,43.0441177,-88.0289889,53226.0,4,42.949,-87.862,10.7,15.360435,21.066666666666666,,
53224,27737,43.0530363,-87.934476,53205.0,2,43.1594,-88.0327,8.86,9.994374,21.15,,
53216,26933,43.0371135,-87.9137137,53290.0,2,43.0859,-87.9742,4.55,5.695812,12.933333333333334,4.968,100.91666666666667
53402,27282,43.0226032,-87.9314504,53204.0,1,42.7726,-87.796,18.58,23.96439,33.85,,
53217,28400,43.0488227,-87.9278883,53205.0,1,43.1409,-87.9073,6.45,8.442495000000001,13.066666666666666,,
53206,36908,43.0406934,-87.9124493,53203.0,1,43.0753,-87.9347,2.64,4.547583,9.2,3.2770170000000003,64.91666666666667
53214,38048,43.0160702,-88.0065798,53214.0,1,43.0215,-88.0176,0.67,1.019061,3.85,1.000431,20.85
53220,27745,43.0625038,-87.9771504,53210.0,1,42.9559,-87.9933,7.41,13.653927000000001,18.833333333333332,,
53188,28617,43.0136678,-88.237429,53188.0,3,43.0128,-88.2705,1.67,1.8505800000000001,5.0,1.789722,36.06666666666667
53206,27903,43.0755531,-87.9792239,53210.0,1,43.0753,-87.9347,2.25,2.207655,5.866666666666666,2.90007,59.2
53215,28527,43.0549598,-87.9145461,53212.0,1,43.006,-87.9429,3.67,5.289678,11.816666666666666,4.2799320000000005,88.5
53215,28483,42.9943092,-87.9134072,53207.0,1,43.006,-87.9429,1.7,2.276586,7.566666666666666,2.168532,43.18333333333333
53209,26933,43.0371135,-87.9137137,53290.0,6,43.1188,-87.9478,5.9,8.371701,12.35,,
53212,28501,43.0559926,-87.9144992,53212.0,1,43.0712,-87.9084,1.09,1.33515,3.6666666666666665,1.325835,26.766666666666666
53222,27055,43.0395821,-87.9198778,53233.0,2,43.0828,-88.0269,6.17,8.374806,14.933333333333334,,
53089,28617,43.0136678,-88.237429,53188.0,1,43.1441,-88.2271,9.03,10.189989,18.533333333333335,,
53211,37590,43.056006,-87.9162808,53212.0,1,43.082,-87.8895,2.25,3.12984,10.816666666666666,3.001914,60.516666666666666
53212,36844,43.0898173,-87.9122221,53212.0,1,43.0712,-87.9084,1.3,2.323782,5.3,1.503441,30.016666666666666
53224,41157,43.0488227,-87.9278883,53205.0,1,43.1594,-88.0327,9.29,10.442115000000001,22.416666666666668,,
53209,28215,43.1002545,-89.5390746,53562.0,1,43.1188,-87.9478,80.28,98.8011,92.9,,
53404,28215,43.1002545,-89.5390746,53562.0,2,42.7433,-87.8053,91.12,116.825625,113.15,,
54650,8236,43.8090509,-91.2483096,54601.0,1,43.8974,-91.2314,6.16,7.055802,16.85,,
53208,28153,43.0386745,-87.9199844,53203.0,1,43.0488,-87.9625,2.26,4.492935,7.3,2.7193590000000003,54.516666666666666
53210,28177,42.7077879,-87.8032018,53403.0,1,43.0685,-87.9715,26.34,33.91902,46.516666666666666,,
53218,37533,43.0099488,-88.2250011,53186.0,1,43.1122,-87.9932,13.67,20.441457,30.5,,
53225,28504,43.0441177,-88.0289889,53226.0,1,43.1154,-88.0346,4.93,7.866207,12.4,5.495229,111.35
53215,3750,42.9872017,-87.9397171,53215.0,1,43.006,-87.9429,1.31,1.629504,4.383333333333334,1.522071,31.05
53218,27114,43.0555513,-87.9627692,53208.0,3,43.1122,-87.9932,4.2,4.756239,13.3,4.592916,94.58333333333333
53227,28504,43.0441177,-88.0289889,53226.0,1,42.9949,-88.0364,3.42,3.804867,5.933333333333334,4.004208,81.06666666666666
53216,28626,43.0081457,-88.2256718,53186.0,1,43.0859,-87.9742,13.79,18.695205,28.566666666666666,,
53029,34924,43.0215108,-88.2316651,53188.0,3,43.1172,-88.3446,8.73,12.151107,18.05,,
53406,32482,42.7153861,-87.8181059,53405.0,2,42.7242,-87.8551,1.97,2.5603830000000003,6.533333333333333,2.447982,49.083333333333336
53205,35464,43.0556602,-87.9181198,53212.0,3,43.0528,-87.9353,0.89,1.166238,4.85,1.083645,22.5
53209,37623,43.0210082,-87.9968633,53214.0,1,43.1188,-87.9478,7.2,11.936241,16.5,,
53225,37442,43.128509,-87.955344,53209.0,1,43.1154,-88.0346,4.1,5.221989,12.466666666666667,4.993461,101.78333333333333
53214,27737,43.0530363,-87.934476,53205.0,2,43.0215,-88.0176,4.73,6.960168,10.533333333333333,6.039225,122.45
53405,28793,42.7257877,-87.8932441,53406.0,2,42.7161,-87.8233,3.61,4.342653,10.75,4.308498,87.76666666666667
53208,28470,42.9104804,-87.8624446,53172.0,1,43.0488,-87.9625,10.81,15.093405,21.583333333333332,,
53215,36980,43.1479775,-87.9791231,53223.0,1,43.006,-87.9429,9.98,14.256297,22.566666666666666,,
53110,27055,43.0395821,-87.9198778,53233.0,3,42.949,-87.862,6.91,8.336304,17.716666666666665,,
53225,27529,43.0418568,-87.9096904,53202.0,1,43.1154,-88.0346,8.1,10.404234,21.8,,
53210,37534,43.0607703,-87.934476,53205.0,1,43.0685,-87.9715,1.94,2.429973,7.433333333333334,2.146176,42.96666666666667
53202,28101,43.0471809,-87.904287,53202.0,2,43.0506,-87.8968,0.45,0.627831,3.466666666666667,0.588087,11.966666666666667
53215,27754,43.0054478,-87.9758952,53219.0,1,43.006,-87.9429,1.67,2.430594,7.083333333333333,2.246778,46.21666666666667
53206,7212,43.0365345,-89.411282,53713.0,1,43.0753,-87.9347,74.59,85.005585,78.01666666666667,,
53233,28439,43.042531,-87.94918,53208.0,1,43.0407,-87.9357,0.69,0.8725050000000001,3.55,0.8097840000000001,16.466666666666665
53204,27111,43.0235637,-87.9891923,53214.0,1,43.0158,-87.9317,2.95,3.395007,11.433333333333334,3.39066,69.8
