INTERACTION_ID,SITE_ID,CLIENT_ID,CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP
1278858,14279,2844,54603,43.8149618,-91.2504499,54601
1171099,7489,2748,52175,43.8838955,-91.2309818,54650
1209421,7489,2748,52175,43.8838955,-91.2309818,54650
1205338,7489,2748,52175,43.8838955,-91.2309818,54650
1291388,6802,2847,54601,43.8412348,-91.2381604,54603
1379840,11547,2749,54650,43.8165172,-91.2482325,54601
1208620,27055,14929,53211,43.0395821,-87.9198778,53233
1377213,30883,14870,53218,43.0641205,-87.96717239,
1328162,28444,16065,53206,43.0633551,-87.9180815,53212
1228236,None,2693,55921,,,
1194965,7489,2693,55921,43.8838955,-91.2309818,54650
1185545,7489,2693,55921,43.8838955,-91.2309818,54650
1309575,None,2693,55921,,,
1232732,7489,2693,55921,43.8838955,-91.2309818,54650
1213805,7489,2693,55921,43.8838955,-91.2309818,54650
1313394,7489,2693,55921,43.8838955,-91.2309818,54650
1403476,7489,2693,55921,43.8838955,-91.2309818,54650
1402574,7489,2693,55921,43.8838955,-91.2309818,54650
1401529,7489,2693,55921,43.8838955,-91.2309818,54650
1376156,7489,2882,54669,43.8838955,-91.2309818,54650
1235465,37355,2882,54669,43.8276228,-91.2155493,54601
1338810,None,2882,54669,,,
1328233,7489,2693,55921,43.8838955,-91.2309818,54650
1296366,7489,2702,54650,43.8838955,-91.2309818,54650
1323916,7489,2702,54650,43.8838955,-91.2309818,54650
1374083,11520,2702,54650,43.812545,-91.228595,54601
1218226,7489,2777,54601,43.8838955,-91.2309818,54650
1171610,None,2777,54601,,,
1183158,None,2777,54601,,,
1297897,7489,2841,54601,43.8838955,-91.2309818,54650
1190902,11547,2841,54601,43.8165172,-91.2482325,54601
1202500,None,2841,54601,,,
1313493,7810,2940,54729,44.940792,-91.395884,54729
1331760,33421,2940,54729,44.8121863,-91.5129352,54703
1239940,7489,2841,54601,43.8838955,-91.2309818,54650
1284622,7489,2670,54601,43.8838955,-91.2309818,54650
1344220,7489,2670,54601,43.8838955,-91.2309818,54650
1341317,7489,2670,54601,43.8838955,-91.2309818,54650
1355218,7489,2670,54601,43.8838955,-91.2309818,54650
1196340,15774,2670,54601,43.8348402,-91.2354192,54603
1300654,7489,2680,52049,43.8838955,-91.2309818,54650
1297047,7489,2680,52049,43.8838955,-91.2309818,54650
1293065,7489,2680,52049,43.8838955,-91.2309818,54650
1290765,7489,2680,52049,43.8838955,-91.2309818,54650
1286009,7489,2680,52049,43.8838955,-91.2309818,54650
1283490,7489,2680,52049,43.8838955,-91.2309818,54650
1282264,7489,2680,52049,43.8838955,-91.2309818,54650
1278932,7489,2680,52049,43.8838955,-91.2309818,54650
1278344,7489,2680,52049,43.8838955,-91.2309818,54650
1239645,7489,2680,52049,43.8838955,-91.2309818,54650
1348838,7489,2680,52049,43.8838955,-91.2309818,54650
1330936,7489,2680,52049,43.8838955,-91.2309818,54650
1329256,7489,2680,52049,43.8838955,-91.2309818,54650
1322162,7489,2680,52049,43.8838955,-91.2309818,54650
1390429,7489,2680,52049,43.8838955,-91.2309818,54650
1388875,7489,2824,54603,43.8838955,-91.2309818,54650
1211846,7489,2843,54701,43.8838955,-91.2309818,54650
1191580,7489,2843,54701,43.8838955,-91.2309818,54650
1284608,7489,2843,54701,43.8838955,-91.2309818,54650
1344823,7489,2843,54701,43.8838955,-91.2309818,54650
1333327,7489,2843,54701,43.8838955,-91.2309818,54650
1331377,7489,2843,54701,43.8838955,-91.2309818,54650
1399821,7489,2843,54701,43.8838955,-91.2309818,54650
1385851,7489,2843,54701,43.8838955,-91.2309818,54650
1398758,19162,2843,54701,34.08826696,-118.3718289,90069
1220391,7489,2890,54669,43.8838955,-91.2309818,54650
1195673,7489,2890,54669,43.8838955,-91.2309818,54650
1190069,7489,2890,54669,43.8838955,-91.2309818,54650
1183169,7489,2890,54669,43.8838955,-91.2309818,54650
1287768,7489,2890,54669,43.8838955,-91.2309818,54650
1286069,7489,2890,54669,43.8838955,-91.2309818,54650
1274441,7489,2890,54669,43.8838955,-91.2309818,54650
1315296,7489,2890,54669,43.8838955,-91.2309818,54650
1367325,7489,2890,54669,43.8838955,-91.2309818,54650
1225071,7489,2843,54701,43.8838955,-91.2309818,54650
1263270,7489,2843,54701,43.8838955,-91.2309818,54650
1213585,7489,2890,54669,43.8838955,-91.2309818,54650
1327858,7489,2890,54669,43.8838955,-91.2309818,54650
1217886,14279,2890,54669,43.8149618,-91.2504499,54601
1353610,7489,2679,54636,43.8838955,-91.2309818,54650
1403693,11617,2679,54636,43.8153635,-91.2460309,54601
1403955,None,2679,54636,,,
1183779,37370,2679,54636,44.8079904,-91.4676772,54720
1196344,31458,2679,54636,43.8112152,-91.2446624,54601
1171041,7489,2679,54636,43.8838955,-91.2309818,54650
1229433,7489,2679,54636,43.8838955,-91.2309818,54650
1227843,7489,2679,54636,43.8838955,-91.2309818,54650
1222085,7489,2679,54636,43.8838955,-91.2309818,54650
